id	signature	author	title	first_line	genre_subtitle	source.name	place	year	volume	number	section	page	type	translation	canon_or_not	meter	razmer	regularity	claus	rhyme	graphic_stanzas	stanza_model	stanza_type	other	Nlines	narrator	dir_speech
138	Ознобишин	Ознобишин Д. П.	Гондольер	Посади меня с собой	NA	ОЗ	СПб.	1841	XV	№4	III	259-261	per	NA	BP	Х	Х443	reg	ммжммж	rhymed	TRUE	Х443443aaBccB	шестистишие	NA	78	heterodiegetic	TRUE
139	Ознобишин	Ознобишин Д. П.	Нардзан	Говорят, Кавказа кущи	Кавказская легенда	Москвитянин	М.	1841	Ч.5	№9	NA	3-6	per	NA	BP	Х	Х443	reg	ммжммж	rhymed	TRUE	Х443443aaBccB	шестистишие	NA	84	heterodiegetic	FALSE
140	К. П–ва	Павлова К. К.	Баллада, 1558 г.	Здравствуй, наш монах печальный!	NA	Москвитянин	М.	1841	Ч.2	№4	NA	20, 300-302	per	NA	canon	Я	Я4	reg	жмжм	rhymed	TRUE	Я4AbAb	катрен	NA	76	heterodiegetic	TRUE
141	К. П–ва	Павлова К. К.	Дочь жида	Томно веют сикоморы	NA	Москвитянин	М.	1841	Ч.6	№11	NA	1-3	per	NA	canon	Х	Х4	reg	жмжм	rhymed	TRUE	Х4AbAb	катрен	NA	44	heterodiegetic	TRUE
142	К. П–ва	Павлова К. К.	Старуха	Не гони неутомимо	NA	Москвитянин	М.	1841	Ч.6	№12	NA	290-293	per	NA	canon	Х	Х4	reg	жмжм	rhymed	FALSE	Х4AbAb	четверостишие	NA	104	heterodiegetic	TRUE
143	П.	Полонский Я. П.	Бэда проповедник	Был вечер. В одежде измятой ветрами	NA	Москвитянин	М.	1841	Ч.2	№4	NA	323-324	per	NA	canon	Ам	Ам4	reg	ж-м	rhymed	TRUE	unreg	вольная рифмовка с холостыми	неравное кол-во строк в строфах	33	heterodiegetic	TRUE
144	Т. Л.	Тургенев И. С.	Баллада	Перед воеводой, молча, он стоит	NA	ОЗ	СПб.	1841	XIX	№12	III	308-309	per	NA	canon	Х	Х6	reg	мм	rhymed	TRUE	Х6aa	двустишие	цезура	26	heterodiegetic	TRUE
145	А. Ф.	Фет А. А.	Стена	На склоне у лона морской глубины	NA	Москвитянин	М.	1842	Ч.3	№5	NA	25	per	NA	canon	Ам	Ам43	reg	мжмж	rhymed	FALSE	Ам43aBaB	четверостишие	NA	20	heterodiegetic	FALSE
147	В. Красов	Красов  В. И.	Ночной товарищ	В чистом поле, что есть силы	NA	ОЗ	СПб.	1842	XXI	№3	I	70	per	NA	BP	Х	Х4	reg	жмжм	rhymed	TRUE	Х4AbAb	катрен	NA	12	homodiegetic	FALSE
148	Н. Огарев	Огарев Н. П.	***	Сидела мать у колыбели	NA	ОЗ	СПб.	1842	XXI	№3	I	102	per	NA	canon	Я	Я4	reg	жмжм	rhymed	TRUE	Я4AbAb	восьмистишие графически	NA	24	homodiegetic	FALSE
